"Canada Mortgage and Housing Corporation, housing starts, under construction and completions, all areas, quarterly 1 2 3"
"Frequency: Quarterly"
"Table: 34-10-0135-01 (formerly CANSIM 027-0008)"
"Release date: 2023-10-18"
"Geography: Canada, Geographical region of Canada, Province or territory"
""
""

,"Geography","Ontario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Seasonal adjustment","Unadjusted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Housing estimates","Type of unit","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023"
,,"Units",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Row","2,801","3,037","1,978","2,388","2,478","2,608","2,402","1,979","2,051","1,986","2,705","2,455","2,658","2,137","2,793","2,973","3,637","2,771","3,154","4,745","3,614","3,283","2,708","2,873","2,746","3,199","3,504","3,074","3,191","3,489","2,857","3,553","2,659","3,754","2,546","3,105","2,555","3,218","..","..","0"
,"Apartment and other unit type","3,428","5,457","4,238","6,363","5,084","5,196","19,312","9,320","7,346","5,956","7,054","4,728","8,362","7,689","8,045","5,486","6,084","6,330","7,959","6,838","7,489","7,787","4,972","5,717","7,226","5,392","7,942","7,440","9,813","7,078","10,340","10,850","8,124","10,159","8,958","6,008","9,647","8,641","..","..","0"

Symbol legend:
.., not available for a specific reference period




Footnotes:
1,"Geographical areas modified every 5 years to reflect most recent census definitions, therefore, data are not strictly comparable historically."
2,"These data are obtained from Canada Mortgage and Housing Corporation (CMHC) and are provided subject to <a href="https://www.cmhc-schl.gc.ca/en/data-and-research/cmhc-licence-agreement-use-of-data" rel="external noopener noreferrer" target="_blank"> CMHC Licence Agreement for the Use of Data (opens new window)</a>."
3,"For additional information and definitions, refer to <a href=" https://www03.cmhc-schl.gc.ca/hmip-pimh/en/TableMapChart/ScsMasMethodology" rel="external noopener noreferrer" target="_blank"> CMHC Starts and Completions Survey Methodology and Definitions (opens new window)</a>."



"How to cite: Statistics Canada. Table 34-10-0135-01  Canada Mortgage and Housing Corporation, housing starts, under construction and completions, all areas, quarterly"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3410013501
